"","Instrument","Comp.1","Comp.2","Comp.3","price","dividend","eps","PE.Comp.1","Div.Yield.Comp.1","PE.Comp.2","Div.Yield.Comp.2","PE.Comp.3","Div.Yield.Comp.3"
"1","TW.",-0.114820409811368,0.20418726656847,-0.0476215858747426,198.6,0.1091,0.18,-126.685185491876,-6.30760660142004e-05,225.286617447212,0.000112169339288117,-52.5424830817993,-2.61606999946345e-05
"2","LGEN",-0.128674725764525,0.108892282234319,-0.132577512271732,250.9,0.1435,0.2211,-146.017587943552,-7.35943529183315e-05,123.568853969202,6.22799621387994e-05,-150.446394522739,-7.58265165842711e-05
"3","MRW",-0.085622191107619,-0.0571453153662987,-0.0382279284135682,242.1,0.0543,0.1073,-193.188559805728,-1.9203985861808e-05,-128.936447811565,-1.28169790350682e-05,-86.2533221707815,-8.57404590192793e-06
"4","CNA",-0.100074913502553,-0.0608110209943856,-0.014956784319046,200.9,0.12,0.168,-119.672917396803,-5.977595629819e-05,-72.7198459391195,-3.63231583839038e-05,-17.8858212481925,-8.93386818459692e-06
"5","CRH",-0.120589806816566,-0.0363641216623855,-0.00452430918630595,2773,0.64353,1.52774,-218.882489364903,-2.79852716843363e-05,-66.0044964259593,-8.4390202716895e-06,-8.21207101576604,-1.04995625339469e-06
"6","SMT",-0.0287428065396246,-0.00774089077220862,0.0035241229847902,0,0,0,0,0,0,0,0,0
"7","RB.",-0.101104103444781,-0.0820278970677282,0.190869596026992,7572,1.532,3.02,-253.496778570821,-2.04558223028796e-05,-205.66729688637,-1.65962411922556e-05,478.564430833238,3.86175675004426e-05
"8","MCRO",-0.0717409602773951,0.0411501839654133,0.0160667807637407,2408,0.70988,1.41519,-122.069992261087,-2.11492827581882e-05,70.0186144536884,1.21311015753188e-05,27.3382429773299,4.73649764475259e-06
"9","SN.",-0.106259783265699,-0.0483591596236618,0.138056750149322,1312,0.25088,0.66847,-208.555111889235,-2.03189439220263e-05,-94.9140835433816,-9.24721491340265e-06,270.962730108921,2.63991444187972e-05
"10","RDSA",-0.093022161580341,-0.209930249265407,-0.0911797482002135,2108.5,1.52146,0.74455,-263.430565700287,-6.71233094417954e-05,-594.50396961401,-0.000151482322526605,-258.213013337116,-6.57938533064723e-05
"11","MERL",-0.104409978220842,0.0443279754197791,0.0863265961883043,516.5,0.071,0.207,-260.520549522052,-1.43525817108999e-05,110.605793740657,6.09348742459694e-06,215.399453774199,1.18667731449557e-05
"12","BLND",-0.125326188940157,0.141401916844971,-0.0237403147198084,638.5,0.292,0.36979,-216.39517466208,-5.73144043391166e-05,244.152421389204,6.46661859338003e-05,-40.9913490051046,-1.08569646016978e-05
"13","BA.",-0.110176791298775,-0.0254147677540793,0.0152227083142931,635.5,0.213,0.401,-174.606860025865,-3.6927862386529e-05,-40.2770197199934,-8.51824631253955e-06,24.1247659195343,5.10218233036102e-06
"14","ADM",-0.0953428643813268,0.00406903314526661,0.0358292895824639,2016,1.144,0.785,-244.85505043663,-5.41032920894037e-05,10.4498991348503,2.30901484036955e-06,92.0150927366206,2.03317000408426e-05
"15","NXT",-0.0937753485617142,0.108605567984154,-0.009091831680206,4354,1.58,4.381,-93.1974132932444,-3.40296395791246e-05,107.936234422051,3.94112993603497e-05,-9.03579893531544,-3.29928664555018e-06
"16","MNDI",-0.123291428531944,-0.0459850877476453,-0.00898088604389611,1978,0.48655,1.1754,-207.478684393556,-3.0327322827208e-05,-77.3851485152649,-1.13114481514746e-05,-15.1133168239123,-2.20912543208173e-06
"17","RRS",0.0134794694479452,-0.220313691340641,0.00570128990326522,7275,0.80929,2.11224,46.4261353983455,1.49949138550207e-06,-758.806813857879,-2.45082704144423e-05,19.636444744089,6.3422637880598e-07
"18","RMG",-0.0835254372799794,0.0268261960590456,-0.0196501910034246,433.6,0.23,0.4034,-89.7784571259273,-4.4305467191871e-05,28.8345032503773,1.42297626696967e-05,-21.1212762000121,-1.04233024234033e-05
"19","AZN",-0.0832658260433156,-0.0631366948318067,0.148746778950536,5140,2.26601,3.48804,-122.701100292039,-3.67084035938548e-05,-93.0386725598004,-2.78343155361522e-05,219.194287853854,6.5576204001888e-05
"20","WTB",-0.117077188017879,0.114644338675136,0.0141998713880161,4132,0.958,2.4595,-196.691579951159,-2.71442270380272e-05,192.604353488783,2.65801733907988e-05,23.8560148710237,3.29222574775399e-06
"21","EXPN",-0.119593103390836,-0.0878561257669317,0.0641782053069217,1660,0.33666,0.73661,-269.511073198555,-2.42543458961198e-05,-197.989667222963,-1.78178574100574e-05,144.629886655747,1.30158039750773e-05
"22","SL.",-0.130406369345883,0.0553708686629645,-0.120673179545943,384.5,0.1982,0.295,-169.970335638955,-6.72211766043015e-05,72.1698271217283,2.85422787230158e-05,-157.284195035306,-6.22039640728373e-05
"23","TSCO",-0.0826798520063204,-0.0633738568005392,-0.0547514254636016,0,0,0,0,0,0,0,0,0
